x,y,z,name,dist
74.6675097736545,44.70921022933823,1.61,敷島住宅　四条敷島ビル,0
69.66744280218045,42.04165052510098,1.68,ベルドール佐野,694.2762004019439
79.7434584281149,48.558569297589976,1.46,エリッツ３ｒｄ,779.9685930403715
71.30127258435124,38.5323974769699,1.59,エリッツ御池ビル,859.6389992916182
67.24241630241244,41.58308016537213,1.6,アルティスタ蛸薬師,987.2868026505276
74.14798780414388,35.95114016412798,1.54,ソフィアブリュー,1071.029967584055
84.63039742952293,39.61396187170345,1.42,クロスホテル京都,1370.966022446458
64.39890189726474,38.44680475635059,1.56,サイクルベースあさひ二条店,1473.1191941860804
64.01979837100963,50.489282328917525,1.57,JR丹波口駅前,1484.2888775994086
64.4251022176406,37.65931918323886,1.53,KOTO二条,1522.5642782091838
86.53911899437861,39.34442483135179,1.38,京阪三条駅,1596.3313476322403
64.37119481200395,55.07939830598338,1.5,梅小路京都西駐輪場A（丹波口寄り）,1788.1687536966424
64.45105763848619,56.25737500407713,1.52,梅小路京都西駐輪場B（梅小路京都西駅寄り),1886.2190473963624
90.51829377225874,46.3164516516097,1.15,佐竹ビル,1953.732142468062
63.94594940628767,32.31848971759212,1.39,レジデンスじゅらく,2004.063572658261
86.54510870859838,32.60999195091578,1.24,京阪川端駐輪場,2074.305307848572
56.99087693388862,47.12463082966936,1.44,ルミナース西院,2187.7423888438
69.945615926065,62.165223901122445,1.33,サンリッチ京都駅Ⅰ,2208.578908858004
91.565257911226,29.584907416853337,1.07,ウエステート聖護院,2775.199660948664
95.03747186259764,31.284313369433743,0.99,シャルマン岡﨑,2987.4169997649547
64.81843192834427,68.39852293151132,1.21,カーサソフィア,3134.5987551147155
49.760757714704496,50.8866158294445,1.23,エリッツ7,3146.2497407860155
75.33511784953656,71.66659127513697,0.91,エリッツ10,3292.596289872532
54.740704238758575,69.28661429277913,1.16,メゾンド蔵,3870.290722789427
50.01533413526266,22.064408259472152,0.64,エルベ北野,4095.975345413363
95.82918964305536,16.779178777354517,0.68,グランディール京大御蔭,4284.170923691472
84.49862376879652,79.51143363392201,0.49,龍谷大深草駅,4417.461172194063
81.18233626716926,7.197693462808462,0.58,サイクルベースあさひ北大路店,4647.462634873037
39.30898133701965,30.94774373007421,0.53,東映太秦映画村,4649.785928235879
35.68833891119062,54.88556077263829,0.96,サイクルベースあさひ桂店,4939.280709263989
100.0,11.853641580554529,0.46,ネクサス北白川,5072.301203048338
77.97854412061417,3.030434530889806e-10,0.36,池田マンション,5471.612600673607
34.76804143640158,71.78670169953595,1.2, TauT阪急洛西口北端,5906.048452601511
33.387474244602224,71.40335024129006,1.22,ハレイワカフェ京都桂店,6021.625377370603
34.87771399306632,78.64672643892835,1.29,サイクルベースあさひ洛西口店,6402.665420421996
37.11307361576247,81.37075835752191,1.28,サイクルベースあさひ桂川店,6423.537602101111
39.67161900926719,86.36166761388235,1.19,向日市観光交流センターまちてらすMUKO,6655.820535737757
81.76908017518703,100.28076552745722,0.25,丹波橋駅ECOPOOL,6842.432758871737
66.04397174945491,102.66091520967174,0.42,サイクルベースあさひ京都南店,7156.166142788969
33.54015047549507,87.24814499239632,1.3,三番屋本店,7241.32560986548
34.76604486498794,90.26097013831854,1.21,敷島住宅　K&Cプラザ,7409.590031181485
22.74513773923661,83.52520715777872,1.33,竹林公園,7939.259874439988
34.83592484189136,100.53731939269773,0.98,朝堂院公園,8388.337265102138
18.014631444787035,83.46707782341318,1.3,UR賃貸住宅 洛西福西公園,8407.9005631241
76.6341846631762,113.65829009974688,0.18,中書島駅高架下,8424.691390146423
14.453539058854275,79.79757169355311,1.2,ホテル京都エミナース西南側,8538.768364642196
15.820212474544704,83.08378638714683,1.28,UR賃貸住宅 洛西竹の里,8606.116694394044
14.82795993472301,82.10919998345345,1.26,ラクセーヌ駐車場北側通路,8644.945600718533
10.060479355478485,73.24819143260892,0.97,UR賃貸住宅 洛西新林北　集会所前,8656.835642856793
10.143604921205206,73.47088191698475,0.99,UR賃貸住宅 洛西新林北,8658.509411840932
14.213346354938546,89.94151883030754,1.2,竹の子料理　うお嘉（うおか）竹林前,9247.001656392364
0.0,85.23909385356554,0.77,大原野神社,10410.87199628651
23.601221661611557,112.88411243575236,0.72,長岡京市中央公民館,10420.49184300441
27.941766306274197,116.33817970041594,0.65,長岡京市立産業文化会館,10459.71849639322
32.454016024914935,121.61910913090222,0.49,勝竜寺城公園,10727.285202412182
4.266431262868694,97.1151972595848,0.82,ナカムラ竹研,10749.417456237925
48.36233576099315,132.06422525375763,0.23,淀駅高架下納所駐輪場,11148.08800008206
9.860822289283456,116.29824828657542,0.47,西代里山公園,11818.505084782617
32.73750873152888,152.08629150766265,0.1,石清水八幡宮駅,14091.192429004905
